library	flavor	mode	capacity	producers	consumers	api	batch_support	items	median_melem_s	min_melem_s	max_melem_s	stage
fibre	spsc	sync	rendezvous	1	1	single	none	25735	0.561	0.531	0.617	stream
flume	spsc	sync	rendezvous	1	1	single	receive only	27380	0.451	0.437	0.474	stream
kanal	spsc	sync	rendezvous	1	1	single	none	444344	7.155	7.011	8.299	stream
crossbeam	spsc	sync	rendezvous	1	1	single	none	33580	0.516	0.507	0.558	stream
std	spsc	sync	rendezvous	1	1	single	none	33294	0.509	0.497	0.588	stream
fibre	spsc	sync	1	1	1	single	send and receive	15382	0.263	0.244	0.280	stream
flume	spsc	sync	1	1	1	single	receive only	40976	0.675	0.644	0.691	stream
kanal	spsc	sync	1	1	1	single	none	587070	8.569	6.636	9.438	stream
crossbeam	spsc	sync	1	1	1	single	none	494287	7.901	5.940	8.294	stream
std	spsc	sync	1	1	1	single	none	15602	0.281	0.257	0.289	stream
fibre	spsc	sync	128	1	1	single	send and receive	1745148	30.044	28.801	32.547	stream
flume	spsc	sync	128	1	1	single	receive only	1831730	30.088	27.999	31.333	stream
kanal	spsc	sync	128	1	1	single	none	1601771	25.884	24.725	27.350	stream
crossbeam	spsc	sync	128	1	1	single	none	3031194	46.928	43.740	52.231	stream
std	spsc	sync	128	1	1	single	none	2490456	53.087	38.705	57.635	stream
fibre	spsc	sync	128	1	1	batch-512	send and receive	1469229	24.493	24.129	24.720	stream
flume	spsc	sync	128	1	1	batch-512	receive only	1174829	19.895	19.627	20.143	stream
fibre	spsc	sync	1024	1	1	single	send and receive	2655567	46.558	44.424	50.521	stream
flume	spsc	sync	1024	1	1	single	receive only	359885	6.226	5.997	6.938	stream
kanal	spsc	sync	1024	1	1	single	none	3071417	51.767	44.422	56.833	stream
crossbeam	spsc	sync	1024	1	1	single	none	4673448	74.640	67.831	77.418	stream
std	spsc	sync	1024	1	1	single	none	7156189	118.384	112.871	125.453	stream
fibre	spsc	sync	1024	1	1	batch-512	send and receive	8000000	470.363	448.368	475.796	stream
flume	spsc	sync	1024	1	1	batch-512	receive only	4425287	77.053	70.877	77.611	stream
flume	spsc	sync	unbounded	1	1	single	receive only	432950	6.594	5.931	9.762	stream
kanal	spsc	sync	unbounded	1	1	single	none	1000000	145.219	90.376	181.645	stream
crossbeam	spsc	sync	unbounded	1	1	single	none	1000000	144.065	138.574	146.632	stream
std	spsc	sync	unbounded	1	1	single	none	1000000	138.521	131.449	143.678	stream
flume	spsc	sync	unbounded	1	1	batch-512	receive only	1000000	113.563	108.838	123.866	stream
fibre	spsc	async	rendezvous	1	1	single	none	1448630	24.272	24.054	24.505	stream
flume	spsc	async	rendezvous	1	1	single	receive only	464185	7.578	7.482	7.695	stream
kanal	spsc	async	rendezvous	1	1	single	none	1219078	20.609	20.480	20.770	stream
fibre	spsc	async	1	1	1	single	send and receive	690912	11.573	11.023	11.765	stream
flume	spsc	async	1	1	1	single	receive only	446732	7.669	7.481	7.823	stream
kanal	spsc	async	1	1	1	single	none	1535860	26.359	25.600	26.743	stream
async-channel	spsc	async	1	1	1	single	none	211923	3.569	3.522	3.661	stream
tokio	spsc	async	1	1	1	single	receive only	461364	7.767	7.543	7.956	stream
fibre	spsc	async	128	1	1	single	send and receive	6490733	109.096	106.253	116.360	stream
flume	spsc	async	128	1	1	single	receive only	2397884	40.470	40.032	40.749	stream
kanal	spsc	async	128	1	1	single	none	5044247	83.755	79.830	84.478	stream
async-channel	spsc	async	128	1	1	single	none	1426117	25.100	24.864	25.329	stream
tokio	spsc	async	128	1	1	single	receive only	2053207	33.642	32.333	34.211	stream
fibre	spsc	async	128	1	1	batch-512	send and receive	8000000	174.282	172.088	176.794	stream
flume	spsc	async	128	1	1	batch-512	receive only	3263962	55.983	55.537	56.711	stream
tokio	spsc	async	128	1	1	batch-512	receive only	2753676	45.677	45.492	45.879	stream
fibre	spsc	async	1024	1	1	single	send and receive	8000000	154.924	127.323	168.439	stream
flume	spsc	async	1024	1	1	single	receive only	1221339	20.618	16.903	26.626	stream
kanal	spsc	async	1024	1	1	single	none	5164758	86.704	83.980	92.541	stream
async-channel	spsc	async	1024	1	1	single	none	1204011	20.034	19.816	21.568	stream
tokio	spsc	async	1024	1	1	single	receive only	1360021	22.673	18.935	23.994	stream
fibre	spsc	async	1024	1	1	batch-512	send and receive	8000000	223.789	207.321	235.814	stream
flume	spsc	async	1024	1	1	batch-512	receive only	3429837	58.120	56.416	59.241	stream
tokio	spsc	async	1024	1	1	batch-512	receive only	2634465	43.168	42.754	43.304	stream
flume	spsc	async	unbounded	1	1	single	receive only	1000000	51.906	51.548	55.968	stream
kanal	spsc	async	unbounded	1	1	single	none	1000000	105.768	104.727	106.773	stream
async-channel	spsc	async	unbounded	1	1	single	none	1000000	30.102	29.133	30.622	stream
tokio	spsc	async	unbounded	1	1	single	receive only	1000000	64.066	63.111	65.295	stream
flume	spsc	async	unbounded	1	1	batch-512	receive only	1000000	90.093	89.461	91.708	stream
tokio	spsc	async	unbounded	1	1	batch-512	receive only	1000000	111.574	110.054	115.513	stream
fibre	mpsc	sync	rendezvous	1	1	single	none	47850	0.576	0.533	0.651	stream
flume	mpsc	sync	rendezvous	1	1	single	receive only	26448	0.464	0.439	0.480	stream
kanal	mpsc	sync	rendezvous	1	1	single	none	476270	8.308	7.209	8.405	stream
crossbeam	mpsc	sync	rendezvous	1	1	single	none	31616	0.569	0.507	0.580	stream
std	mpsc	sync	rendezvous	1	1	single	none	33071	0.544	0.505	0.586	stream
fibre	mpsc	sync	rendezvous	16	1	single	none	43568	0.699	0.597	0.741	stream
flume	mpsc	sync	rendezvous	16	1	single	receive only	12480	0.213	0.211	0.215	stream
kanal	mpsc	sync	rendezvous	16	1	single	none	54256	1.435	1.079	2.471	stream
crossbeam	mpsc	sync	rendezvous	16	1	single	none	10608	0.176	0.171	0.183	stream
std	mpsc	sync	rendezvous	16	1	single	none	10384	0.174	0.168	0.179	stream
fibre	mpsc	sync	rendezvous	64	1	single	none	40768	0.662	0.583	0.721	stream
flume	mpsc	sync	rendezvous	64	1	single	receive only	12608	0.212	0.201	0.214	stream
kanal	mpsc	sync	rendezvous	64	1	single	none	19712	0.453	0.341	0.559	stream
crossbeam	mpsc	sync	rendezvous	64	1	single	none	9984	0.170	0.157	0.175	stream
std	mpsc	sync	rendezvous	64	1	single	none	10176	0.169	0.156	0.172	stream
fibre	mpsc	sync	1	1	1	single	send and receive	386589	7.336	6.470	7.500	stream
flume	mpsc	sync	1	1	1	single	receive only	40033	0.667	0.631	0.683	stream
kanal	mpsc	sync	1	1	1	single	none	424960	9.730	9.197	10.475	stream
crossbeam	mpsc	sync	1	1	1	single	none	513455	8.528	8.366	8.662	stream
std	mpsc	sync	1	1	1	single	none	15381	0.256	0.252	0.259	stream
fibre	mpsc	sync	1	16	1	single	send and receive	73616	1.218	1.159	1.256	stream
flume	mpsc	sync	1	16	1	single	receive only	11536	0.212	0.207	0.214	stream
kanal	mpsc	sync	1	16	1	single	none	24144	1.438	1.154	1.557	stream
crossbeam	mpsc	sync	1	16	1	single	none	11680	0.194	0.189	0.237	stream
std	mpsc	sync	1	16	1	single	none	13872	0.235	0.233	0.237	stream
fibre	mpsc	sync	1	64	1	single	send and receive	69440	1.168	1.141	1.197	stream
flume	mpsc	sync	1	64	1	single	receive only	13056	0.208	0.180	0.214	stream
kanal	mpsc	sync	1	64	1	single	none	23232	0.503	0.384	0.689	stream
crossbeam	mpsc	sync	1	64	1	single	none	9792	0.157	0.138	0.164	stream
std	mpsc	sync	1	64	1	single	none	14464	0.230	0.226	0.232	stream
fibre	mpsc	sync	128	1	1	single	send and receive	1193395	42.454	40.380	43.251	stream
flume	mpsc	sync	128	1	1	single	receive only	1697122	29.291	26.724	30.226	stream
kanal	mpsc	sync	128	1	1	single	none	1249980	25.927	20.637	27.838	stream
crossbeam	mpsc	sync	128	1	1	single	none	2109361	46.041	38.185	49.483	stream
std	mpsc	sync	128	1	1	single	none	2645814	53.638	45.400	57.403	stream
fibre	mpsc	sync	128	1	1	batch-512	send and receive	2832192	45.730	37.652	46.928	stream
flume	mpsc	sync	128	1	1	batch-512	receive only	1183763	20.343	19.985	20.464	stream
fibre	mpsc	sync	128	16	1	single	send and receive	173616	2.707	2.141	3.392	stream
flume	mpsc	sync	128	16	1	single	receive only	12848	0.212	0.190	0.216	stream
kanal	mpsc	sync	128	16	1	single	none	58672	1.233	0.806	1.541	stream
crossbeam	mpsc	sync	128	16	1	single	none	864848	13.083	11.602	15.725	stream
std	mpsc	sync	128	16	1	single	none	11776	0.210	0.197	0.218	stream
fibre	mpsc	sync	128	16	1	batch-512	send and receive	169024	3.257	2.323	3.385	stream
flume	mpsc	sync	128	16	1	batch-512	receive only	201824	3.422	3.345	3.533	stream
fibre	mpsc	sync	128	64	1	single	send and receive	43136	0.687	0.517	0.820	stream
flume	mpsc	sync	128	64	1	single	receive only	12736	0.196	0.189	0.214	stream
kanal	mpsc	sync	128	64	1	single	none	24832	0.479	0.341	0.594	stream
crossbeam	mpsc	sync	128	64	1	single	none	34944	0.953	0.166	14.491	stream
std	mpsc	sync	128	64	1	single	none	11584	0.192	0.178	0.199	stream
fibre	mpsc	sync	128	64	1	batch-512	send and receive	44736	0.768	0.560	0.838	stream
flume	mpsc	sync	128	64	1	batch-512	receive only	85696	1.402	1.105	1.486	stream
fibre	mpsc	sync	1024	1	1	single	send and receive	8000000	175.968	170.959	184.291	stream
flume	mpsc	sync	1024	1	1	single	receive only	414364	7.135	5.549	9.727	stream
kanal	mpsc	sync	1024	1	1	single	none	3123621	42.578	34.259	56.780	stream
crossbeam	mpsc	sync	1024	1	1	single	none	4227980	62.424	59.846	67.789	stream
std	mpsc	sync	1024	1	1	single	none	7426441	117.424	113.137	122.499	stream
fibre	mpsc	sync	1024	1	1	batch-512	send and receive	8000000	370.271	326.809	386.447	stream
flume	mpsc	sync	1024	1	1	batch-512	receive only	4314443	74.379	72.974	75.081	stream
fibre	mpsc	sync	1024	16	1	single	send and receive	179904	3.335	2.731	9.789	stream
flume	mpsc	sync	1024	16	1	single	receive only	12704	0.248	0.231	1.359	stream
kanal	mpsc	sync	1024	16	1	single	none	155184	1.629	1.250	2.937	stream
crossbeam	mpsc	sync	1024	16	1	single	none	537296	14.533	12.420	27.865	stream
std	mpsc	sync	1024	16	1	single	none	13552	0.416	0.236	0.543	stream
fibre	mpsc	sync	1024	16	1	batch-512	send and receive	142480	2.773	2.543	3.125	stream
flume	mpsc	sync	1024	16	1	batch-512	receive only	1018448	17.254	16.008	18.109	stream
fibre	mpsc	sync	1024	64	1	single	send and receive	42944	0.863	0.810	1.188	stream
flume	mpsc	sync	1024	64	1	single	receive only	12736	0.233	0.225	0.237	stream
kanal	mpsc	sync	1024	64	1	single	none	25600	0.490	0.416	0.720	stream
crossbeam	mpsc	sync	1024	64	1	single	none	1298880	20.966	1.617	26.136	stream
std	mpsc	sync	1024	64	1	single	none	11712	0.216	0.209	0.221	stream
fibre	mpsc	sync	1024	64	1	batch-512	send and receive	42240	0.852	0.554	0.866	stream
flume	mpsc	sync	1024	64	1	batch-512	receive only	406720	6.741	6.419	7.162	stream
fibre	mpsc	sync	unbounded	1	1	single	send and receive	1000000	231.526	126.021	232.144	stream
flume	mpsc	sync	unbounded	1	1	single	receive only	359066	5.643	5.555	6.198	stream
kanal	mpsc	sync	unbounded	1	1	single	none	1000000	142.069	137.242	147.438	stream
crossbeam	mpsc	sync	unbounded	1	1	single	none	1000000	143.313	137.488	144.030	stream
std	mpsc	sync	unbounded	1	1	single	none	1000000	133.525	128.285	139.100	stream
fibre	mpsc	sync	unbounded	1	1	batch-512	send and receive	1000000	326.007	315.694	333.829	stream
flume	mpsc	sync	unbounded	1	1	batch-512	receive only	1000000	102.953	99.432	115.004	stream
fibre	mpsc	sync	unbounded	16	1	single	send and receive	790832	12.974	12.805	16.077	stream
flume	mpsc	sync	unbounded	16	1	single	receive only	1000000	42.057	40.991	42.859	stream
kanal	mpsc	sync	unbounded	16	1	single	none	1000000	43.483	41.414	46.747	stream
crossbeam	mpsc	sync	unbounded	16	1	single	none	1000000	17.596	16.469	24.879	stream
std	mpsc	sync	unbounded	16	1	single	none	453408	7.682	7.031	8.328	stream
fibre	mpsc	sync	unbounded	16	1	batch-512	send and receive	1000000	208.672	196.663	217.772	stream
flume	mpsc	sync	unbounded	16	1	batch-512	receive only	1000000	51.980	49.448	61.404	stream
fibre	mpsc	sync	unbounded	64	1	single	send and receive	1000000	19.301	14.086	51.132	stream
flume	mpsc	sync	unbounded	64	1	single	receive only	1000000	44.082	42.539	46.027	stream
kanal	mpsc	sync	unbounded	64	1	single	none	208512	8.163	6.202	8.282	stream
crossbeam	mpsc	sync	unbounded	64	1	single	none	1000000	23.543	21.880	41.078	stream
std	mpsc	sync	unbounded	64	1	single	none	499264	8.612	7.035	9.852	stream
fibre	mpsc	sync	unbounded	64	1	batch-512	send and receive	1000000	206.010	193.463	235.592	stream
flume	mpsc	sync	unbounded	64	1	batch-512	receive only	1000000	61.935	58.957	65.326	stream
fibre	mpsc	async	rendezvous	1	1	single	none	1531235	24.556	23.982	25.650	stream
flume	mpsc	async	rendezvous	1	1	single	receive only	460287	7.776	7.460	7.928	stream
kanal	mpsc	async	rendezvous	1	1	single	none	1240545	21.066	17.766	21.805	stream
fibre	mpsc	async	rendezvous	16	1	single	none	411600	6.701	6.603	6.912	stream
flume	mpsc	async	rendezvous	16	1	single	receive only	54912	0.898	0.877	0.929	stream
kanal	mpsc	async	rendezvous	16	1	single	none	358528	6.085	5.354	6.691	stream
fibre	mpsc	async	rendezvous	64	1	single	none	239488	3.609	3.263	3.884	stream
flume	mpsc	async	rendezvous	64	1	single	receive only	34176	0.566	0.562	0.586	stream
kanal	mpsc	async	rendezvous	64	1	single	none	400704	1.015	0.929	1.237	stream
fibre	mpsc	async	1	1	1	single	send and receive	342334	9.479	9.379	9.944	stream
flume	mpsc	async	1	1	1	single	receive only	395961	7.591	7.487	7.702	stream
kanal	mpsc	async	1	1	1	single	none	1589277	26.624	26.240	28.066	stream
async-channel	mpsc	async	1	1	1	single	none	219842	3.760	3.613	3.848	stream
tokio	mpsc	async	1	1	1	single	receive only	480843	8.029	7.873	8.214	stream
fibre	mpsc	async	1	16	1	single	send and receive	496832	8.269	7.862	8.530	stream
flume	mpsc	async	1	16	1	single	receive only	52048	0.879	0.827	0.893	stream
kanal	mpsc	async	1	16	1	single	none	458256	16.525	15.066	20.103	stream
async-channel	mpsc	async	1	16	1	single	none	100224	1.643	1.606	1.746	stream
tokio	mpsc	async	1	16	1	single	receive only	448848	7.731	7.607	7.956	stream
fibre	mpsc	async	1	64	1	single	send and receive	372672	6.054	5.984	6.682	stream
flume	mpsc	async	1	64	1	single	receive only	35648	0.569	0.554	0.597	stream
kanal	mpsc	async	1	64	1	single	none	171520	8.850	7.837	13.640	stream
async-channel	mpsc	async	1	64	1	single	none	99136	1.661	1.603	1.707	stream
tokio	mpsc	async	1	64	1	single	receive only	416128	6.946	6.728	7.124	stream
fibre	mpsc	async	128	1	1	single	send and receive	3972228	65.576	64.841	67.029	stream
flume	mpsc	async	128	1	1	single	receive only	2328325	39.041	38.544	39.925	stream
kanal	mpsc	async	128	1	1	single	none	4923514	82.385	79.713	82.881	stream
async-channel	mpsc	async	128	1	1	single	none	1457292	24.617	24.347	24.876	stream
tokio	mpsc	async	128	1	1	single	receive only	2030784	33.689	33.391	33.787	stream
fibre	mpsc	async	128	1	1	batch-512	send and receive	8000000	226.980	224.891	228.010	stream
flume	mpsc	async	128	1	1	batch-512	receive only	3065975	51.049	50.641	51.480	stream
tokio	mpsc	async	128	1	1	batch-512	receive only	2691692	44.612	44.243	44.799	stream
fibre	mpsc	async	128	16	1	single	send and receive	3810384	64.543	63.547	65.901	stream
flume	mpsc	async	128	16	1	single	receive only	192896	3.333	3.276	3.467	stream
kanal	mpsc	async	128	16	1	single	none	1076352	14.729	10.317	21.622	stream
async-channel	mpsc	async	128	16	1	single	none	197872	3.423	3.208	3.544	stream
tokio	mpsc	async	128	16	1	single	receive only	344416	5.658	5.538	6.641	stream
fibre	mpsc	async	128	16	1	batch-512	send and receive	8000000	219.406	211.046	223.328	stream
flume	mpsc	async	128	16	1	batch-512	receive only	435104	7.143	7.040	7.430	stream
